coherent_drawer_contradiction,coherent_static_contradiction,continuity_advantage_static_minus_drawer,cues_used,drawer_attachment_score,drawer_continuity_median,drawer_contradiction_run,drawer_switch_count,drawer_switch_fraction,experiment_set,experimental_identity_preference,original_frame_id,proposal_id,q_m,region_directory,source_layer,static_continuity_median,static_contradiction_run,static_disocclusion_score,static_switch_count,static_switch_fraction,strong_drawer_attachment,strong_static_disocclusion
False,False,0.014959631292742248,"{""drawer"": [], ""static"": []}",0.09523809523809523,0.7042863766048995,0,0,0.0,ambiguity,unresolved,203,frame_203_layer_10,0.2815773461555924,/workspace_whz_worktrees/funrec-assignment-v3_outputs/geometry_interior_v4/surface_identity_visibility_audit_001/ambiguity_regions/063_frame_203_layer_10,10,0.7192460078976417,0,0.48438154730974353,0,0.0,False,False
False,False,0.24743184744998747,"{""drawer"": [], ""static"": [""surface_continuity_advantage""]}",0.14285714285714285,0.5275418935810102,0,0,0.0,ambiguity,unresolved,203,frame_203_layer_24,0.2815773461555924,/workspace_whz_worktrees/funrec-assignment-v3_outputs/geometry_interior_v4/surface_identity_visibility_audit_001/ambiguity_regions/064_frame_203_layer_24,24,0.7749737410309977,0,0.3333333333333333,0,0.0,False,False
False,False,0.3021005816210627,"{""drawer"": [""drawer_attachment""], ""static"": [""surface_continuity_advantage""]}",1.0,0.5595620201206064,0,0,0.0,ambiguity,unresolved,203,frame_203_layer_28,0.2815773461555924,/workspace_whz_worktrees/funrec-assignment-v3_outputs/geometry_interior_v4/surface_identity_visibility_audit_001/ambiguity_regions/065_frame_203_layer_28,28,0.8616626017416691,0,0.3333333333333333,0,0.0,True,False
False,False,0.23341852260273777,"{""drawer"": [], ""static"": [""surface_continuity_advantage""]}",0.3333333333333333,0.35082670276505334,0,0,0.0,ambiguity,unresolved,204,frame_204_layer_0,0.28446401290015544,/workspace_whz_worktrees/funrec-assignment-v3_outputs/geometry_interior_v4/surface_identity_visibility_audit_001/ambiguity_regions/066_frame_204_layer_0,0,0.5842452253677911,0,0.3333333333333333,0,0.0,False,False
False,False,0.6805834112156572,"{""drawer"": [], ""static"": [""surface_continuity_advantage""]}",0.0,0.11821493440130354,0,0,0.0,ambiguity,unresolved,204,frame_204_layer_3,0.28446401290015544,/workspace_whz_worktrees/funrec-assignment-v3_outputs/geometry_interior_v4/surface_identity_visibility_audit_001/ambiguity_regions/067_frame_204_layer_3,3,0.7987983456169607,0,0.4821035412742638,2,0.2857142857142857,False,False
False,False,-0.021162049332371757,"{""drawer"": [""drawer_attachment""], ""static"": []}",0.5238095238095238,0.5437216075928935,0,0,0.0,ambiguity,unresolved,204,frame_204_layer_6,0.28446401290015544,/workspace_whz_worktrees/funrec-assignment-v3_outputs/geometry_interior_v4/surface_identity_visibility_audit_001/ambiguity_regions/068_frame_204_layer_6,6,0.5225595582605217,0,0.6140251194402282,0,0.0,True,False
False,False,0.014894924659813569,"{""drawer"": [], ""static"": []}",0.09523809523809523,0.6985156328774299,0,0,0.0,ambiguity,unresolved,204,frame_204_layer_10,0.28446401290015544,/workspace_whz_worktrees/funrec-assignment-v3_outputs/geometry_interior_v4/surface_identity_visibility_audit_001/ambiguity_regions/069_frame_204_layer_10,10,0.7134105575372435,0,0.47616618780527054,0,0.0,False,False
False,False,0.04324289039669793,"{""drawer"": [], ""static"": [""explained_static_disocclusion""]}",0.23809523809523808,0.6667670499347069,0,0,0.0,ambiguity,unresolved,204,frame_204_layer_12,0.28446401290015544,/workspace_whz_worktrees/funrec-assignment-v3_outputs/geometry_interior_v4/surface_identity_visibility_audit_001/ambiguity_regions/070_frame_204_layer_12,12,0.7100099403314049,0,0.925512440836859,2,0.16666666666666666,False,True
False,False,0.3035483135014,"{""drawer"": [""drawer_attachment""], ""static"": [""surface_continuity_advantage""]}",1.0,0.557263292084065,0,0,0.0,ambiguity,unresolved,204,frame_204_layer_28,0.28446401290015544,/workspace_whz_worktrees/funrec-assignment-v3_outputs/geometry_interior_v4/surface_identity_visibility_audit_001/ambiguity_regions/071_frame_204_layer_28,28,0.860811605585465,0,0.3333333333333333,0,0.0,True,False
False,False,0.23345138691437262,"{""drawer"": [], ""static"": [""surface_continuity_advantage""]}",0.3333333333333333,0.34911642384953967,0,0,0.0,ambiguity,unresolved,205,frame_205_layer_0,0.29123566231989506,/workspace_whz_worktrees/funrec-assignment-v3_outputs/geometry_interior_v4/surface_identity_visibility_audit_001/ambiguity_regions/072_frame_205_layer_0,0,0.5825678107639123,0,0.3333333333333333,0,0.0,False,False
False,False,0.6357710743886202,"{""drawer"": [], ""static"": [""surface_continuity_advantage""]}",0.0,0.15905608481093747,0,0,0.0,ambiguity,unresolved,205,frame_205_layer_3,0.29123566231989506,/workspace_whz_worktrees/funrec-assignment-v3_outputs/geometry_interior_v4/surface_identity_visibility_audit_001/ambiguity_regions/073_frame_205_layer_3,3,0.7948271591995577,0,0.4821035412742638,2,0.2857142857142857,False,False
False,False,-0.0020597580849950337,"{""drawer"": [""drawer_attachment""], ""static"": []}",0.47619047619047616,0.5149429381891264,0,0,0.0,ambiguity,unresolved,205,frame_205_layer_6,0.29123566231989506,/workspace_whz_worktrees/funrec-assignment-v3_outputs/geometry_interior_v4/surface_identity_visibility_audit_001/ambiguity_regions/074_frame_205_layer_6,6,0.5128831801041314,0,0.6220084679281462,0,0.0,True,False
False,False,0.022407002361051753,"{""drawer"": [], ""static"": []}",0.09523809523809523,0.6880220533952816,0,0,0.0,ambiguity,unresolved,205,frame_205_layer_10,0.29123566231989506,/workspace_whz_worktrees/funrec-assignment-v3_outputs/geometry_interior_v4/surface_identity_visibility_audit_001/ambiguity_regions/075_frame_205_layer_10,10,0.7104290557563333,0,0.4414149021500033,0,0.0,False,False
False,False,0.30548693723808995,"{""drawer"": [""drawer_attachment""], ""static"": [""surface_continuity_advantage""]}",1.0,0.5516531272668226,0,0,0.0,ambiguity,unresolved,205,frame_205_layer_28,0.29123566231989506,/workspace_whz_worktrees/funrec-assignment-v3_outputs/geometry_interior_v4/surface_identity_visibility_audit_001/ambiguity_regions/076_frame_205_layer_28,28,0.8571400645049125,0,0.3333333333333333,0,0.0,True,False
False,False,0.23181302102185763,"{""drawer"": [], ""static"": [""surface_continuity_advantage""]}",0.36363636363636365,0.3495621649671403,0,0,0.0,ambiguity,unresolved,206,frame_206_layer_0,0.2996387806033801,/workspace_whz_worktrees/funrec-assignment-v3_outputs/geometry_interior_v4/surface_identity_visibility_audit_001/ambiguity_regions/077_frame_206_layer_0,0,0.581375185988998,0,0.3333333333333333,0,0.0,False,False
False,False,0.8155203953366166,"{""drawer"": [], ""static"": [""surface_continuity_advantage""]}",0.0,0.08557807676617252,0,0,0.0,ambiguity,unresolved,206,frame_206_layer_3,0.2996387806033801,/workspace_whz_worktrees/funrec-assignment-v3_outputs/geometry_interior_v4/surface_identity_visibility_audit_001/ambiguity_regions/078_frame_206_layer_3,3,0.901098472102789,0,0.4935537175977416,2,0.25,False,False
False,False,0.008019475846996915,"{""drawer"": [""drawer_attachment""], ""static"": []}",0.5,0.4978291516011244,0,0,0.0,ambiguity,unresolved,206,frame_206_layer_6,0.2996387806033801,/workspace_whz_worktrees/funrec-assignment-v3_outputs/geometry_interior_v4/surface_identity_visibility_audit_001/ambiguity_regions/079_frame_206_layer_6,6,0.5058486274481213,0,0.6223071489543369,0,0.0,True,False
False,False,0.019757238355993967,"{""drawer"": [], ""static"": []}",0.13636363636363635,0.7246949441018391,0,0,0.0,ambiguity,unresolved,206,frame_206_layer_10,0.2996387806033801,/workspace_whz_worktrees/funrec-assignment-v3_outputs/geometry_interior_v4/surface_identity_visibility_audit_001/ambiguity_regions/080_frame_206_layer_10,10,0.7444521824578331,0,0.49165029918320463,0,0.0,False,False
False,False,0.3225932455338968,"{""drawer"": [""drawer_attachment""], ""static"": [""surface_continuity_advantage""]}",1.0,0.5432806942016833,0,0,0.0,ambiguity,unresolved,206,frame_206_layer_28,0.2996387806033801,/workspace_whz_worktrees/funrec-assignment-v3_outputs/geometry_interior_v4/surface_identity_visibility_audit_001/ambiguity_regions/081_frame_206_layer_28,28,0.8658739397355801,0,0.3333333333333333,0,0.0,True,False
False,False,0.22293864815235803,"{""drawer"": [], ""static"": [""surface_continuity_advantage""]}",0.2727272727272727,0.34085475850304797,0,0,0.0,ambiguity,unresolved,207,frame_207_layer_0,0.3002295680213606,/workspace_whz_worktrees/funrec-assignment-v3_outputs/geometry_interior_v4/surface_identity_visibility_audit_001/ambiguity_regions/082_frame_207_layer_0,0,0.563793406655406,0,0.3333333333333333,0,0.0,False,False
False,False,0.8022508703546768,"{""drawer"": [], ""static"": [""surface_continuity_advantage""]}",0.0,0.08836353710703582,0,0,0.0,ambiguity,unresolved,207,frame_207_layer_3,0.3002295680213606,/workspace_whz_worktrees/funrec-assignment-v3_outputs/geometry_interior_v4/surface_identity_visibility_audit_001/ambiguity_regions/083_frame_207_layer_3,3,0.8906144074617126,0,0.4935537175977416,2,0.25,False,False
False,False,0.0426480384091108,"{""drawer"": [""drawer_attachment""], ""static"": []}",0.5,0.4826673581285823,0,0,0.0,ambiguity,unresolved,207,frame_207_layer_6,0.3002295680213606,/workspace_whz_worktrees/funrec-assignment-v3_outputs/geometry_interior_v4/surface_identity_visibility_audit_001/ambiguity_regions/084_frame_207_layer_6,6,0.5253153965376931,0,0.6211105648678105,0,0.0,True,False
