original_frame_id,proposal_id,source_layer,control_group,decision,formal_ownership_label,decision_reason,observation_count,informative_observation_count,effective_chain_length,censored_observation_count,ambiguous_neutral_observation_count,posterior_moving_before_censor,posterior_moving_after_censor,aggregate_evidence_before_censor,aggregate_evidence_after_censor,tangent_motion,trusted_finite_physical_edge,short_censored,short_ambiguous,short_moving_evidence,short_static_evidence,medium_censored,medium_ambiguous,medium_moving_evidence,medium_static_evidence,long_censored,long_ambiguous,long_moving_evidence,long_static_evidence
202,frame_202_layer_10,10,ambiguity_116,UNKNOWN,UNKNOWN,tangent_or_repeated_plane_without_trusted_finite_physical_edge,21,0,0,19,1,3.123824641301249e-74,0.5,-169.25223878390352,0.0,True,False,0,1,0,1,3,0,0,0,16,0,0,0
202,frame_202_layer_24,24,ambiguity_116,WORLD_STATIC,WORLD_STATIC,retained_frozen_noise_observations_favor_static_model,21,2,2,17,1,3.1805104341661127e-13,3.1805104341661127e-13,-28.77656451112245,-28.77656451112245,True,False,0,1,0,1,3,0,0,0,14,0,0,2
202,frame_202_layer_28,28,ambiguity_116,WORLD_STATIC,WORLD_STATIC,retained_frozen_noise_observations_favor_static_model,21,10,10,0,6,1.2397257685259652e-29,1.2397257685259652e-29,-66.56007749608317,-66.56007749608317,True,True,0,2,0,0,0,3,0,0,0,1,0,15
203,frame_203_layer_0,0,ambiguity_116,UNKNOWN,UNKNOWN,tangent_or_repeated_plane_without_trusted_finite_physical_edge,21,0,0,17,4,0.5,0.5,0.0,0.0,True,False,0,3,0,0,0,1,0,0,17,0,0,0
203,frame_203_layer_3,3,ambiguity_116,WORLD_STATIC,WORLD_STATIC,retained_frozen_noise_observations_favor_static_model,21,11,11,9,1,5.2831404248831967e-36,5.2831404248831967e-36,-81.22854264943747,-81.22854264943747,False,True,0,1,0,2,0,0,0,1,9,0,0,8
203,frame_203_layer_6,6,ambiguity_116,WORLD_STATIC,WORLD_STATIC,retained_frozen_noise_observations_favor_static_model,21,7,7,8,5,3.775441958482343e-15,3.775441958482343e-15,-33.21025894396779,-33.21025894396779,True,False,0,3,0,0,0,1,0,0,8,1,0,8
203,frame_203_layer_10,10,ambiguity_116,UNKNOWN,UNKNOWN,tangent_or_repeated_plane_without_trusted_finite_physical_edge,21,0,0,17,1,1.7457311805498815e-74,0.5,-169.83412339902534,0.0,True,False,0,1,0,2,0,0,0,1,17,0,0,0
203,frame_203_layer_24,24,ambiguity_116,WORLD_STATIC,WORLD_STATIC,retained_frozen_noise_observations_favor_static_model,21,3,3,15,2,1.8011814947743183e-20,1.8011814947743183e-20,-45.463259024320124,-45.463259024320124,True,False,0,2,0,1,1,0,0,0,14,0,0,3
203,frame_203_layer_28,28,ambiguity_116,WORLD_STATIC,WORLD_STATIC,retained_frozen_noise_observations_favor_static_model,21,10,10,0,6,4.285877671214025e-30,4.285877671214025e-30,-67.62222743465793,-67.62222743465793,True,True,0,3,0,0,0,1,0,0,0,2,0,15
204,frame_204_layer_0,0,ambiguity_116,UNKNOWN,UNKNOWN,tangent_or_repeated_plane_without_trusted_finite_physical_edge,23,1,1,16,6,0.01177755093588618,0.01177755093588618,-4.429712566850061,-4.429712566850061,True,False,0,4,0,0,0,2,0,0,16,0,0,1
204,frame_204_layer_3,3,ambiguity_116,WORLD_STATIC,WORLD_STATIC,retained_frozen_noise_observations_favor_static_model,23,13,13,8,1,1.2072742249668082e-37,1.2072742249668082e-37,-85.00728332897069,-85.00728332897069,False,True,0,1,0,3,0,0,0,2,8,0,0,9
204,frame_204_layer_6,6,ambiguity_116,WORLD_STATIC,WORLD_STATIC,retained_frozen_noise_observations_favor_static_model,23,8,8,8,7,1.5768792956496365e-16,1.5768792956496365e-16,-36.3859137233417,-36.3859137233417,True,False,0,4,0,0,0,2,0,0,8,1,0,8
204,frame_204_layer_10,10,ambiguity_116,UNKNOWN,UNKNOWN,tangent_or_repeated_plane_without_trusted_finite_physical_edge,23,0,0,16,0,1.8117373170848275e-75,0.5,-172.09959574593782,0.0,True,False,0,0,3,1,0,0,0,2,16,0,0,1
204,frame_204_layer_12,12,ambiguity_116,UNKNOWN,UNKNOWN,tangent_or_repeated_plane_without_trusted_finite_physical_edge,23,3,3,17,3,2.3523157223591708e-105,2.789959216403617e-05,-240.9160345076503,-10.486870587038911,True,False,1,3,0,0,2,0,0,0,14,0,0,3
