original_frame_id,q_m,proposal_id,source_layer,formal_v4_label,v5_decision,decision_reason,static_verified_active,drawer_verified_active,static_verified_fraction,drawer_verified_fraction,accepted_causal_disocclusion_events,static_contradiction_veto,drawer_contradiction_veto,region_directory
196,0.2117328619537343,frame_196_layer_11,11,unknown,MOVING,positive_moving_physical_evidence_no_static_conflict,4,11,0.2,0.55,0,False,False,/workspace_whz_worktrees/funrec-assignment-v3_outputs/geometry_interior_v5/unknown_116_physical_events_001/regions/022_frame_196_layer_11
196,0.2117328619537343,frame_196_layer_28,28,unknown,UNKNOWN,insufficient_positive_physical_evidence,20,7,1.0,0.35,0,False,False,/workspace_whz_worktrees/funrec-assignment-v3_outputs/geometry_interior_v5/unknown_116_physical_events_001/regions/023_frame_196_layer_28
197,0.23088570413786158,frame_197_layer_0,0,unknown,UNKNOWN,insufficient_positive_physical_evidence,11,4,0.6111111111111112,0.2222222222222222,0,False,False,/workspace_whz_worktrees/funrec-assignment-v3_outputs/geometry_interior_v5/unknown_116_physical_events_001/regions/024_frame_197_layer_0
197,0.23088570413786158,frame_197_layer_6,6,unknown,MOVING,positive_moving_physical_evidence_no_static_conflict,9,14,0.5,0.7777777777777778,0,False,False,/workspace_whz_worktrees/funrec-assignment-v3_outputs/geometry_interior_v5/unknown_116_physical_events_001/regions/025_frame_197_layer_6
197,0.23088570413786158,frame_197_layer_10,10,unknown,UNKNOWN,insufficient_positive_physical_evidence,8,8,0.4444444444444444,0.4444444444444444,0,False,False,/workspace_whz_worktrees/funrec-assignment-v3_outputs/geometry_interior_v5/unknown_116_physical_events_001/regions/026_frame_197_layer_10
197,0.23088570413786158,frame_197_layer_11,11,unknown,UNKNOWN,insufficient_positive_physical_evidence,7,10,0.3888888888888889,0.5555555555555556,0,False,False,/workspace_whz_worktrees/funrec-assignment-v3_outputs/geometry_interior_v5/unknown_116_physical_events_001/regions/027_frame_197_layer_11
197,0.23088570413786158,frame_197_layer_28,28,unknown,UNKNOWN,insufficient_positive_physical_evidence,18,10,1.0,0.5555555555555556,0,False,False,/workspace_whz_worktrees/funrec-assignment-v3_outputs/geometry_interior_v5/unknown_116_physical_events_001/regions/028_frame_197_layer_28
198,0.2468650200273087,frame_198_layer_0,0,unknown,UNKNOWN,insufficient_positive_physical_evidence,9,5,0.6,0.3333333333333333,0,False,False,/workspace_whz_worktrees/funrec-assignment-v3_outputs/geometry_interior_v5/unknown_116_physical_events_001/regions/029_frame_198_layer_0
198,0.2468650200273087,frame_198_layer_6,6,unknown,MOVING,positive_moving_physical_evidence_no_static_conflict,7,11,0.4666666666666667,0.7333333333333333,0,False,False,/workspace_whz_worktrees/funrec-assignment-v3_outputs/geometry_interior_v5/unknown_116_physical_events_001/regions/030_frame_198_layer_6
198,0.2468650200273087,frame_198_layer_10,10,unknown,UNKNOWN,insufficient_positive_physical_evidence,5,5,0.3333333333333333,0.3333333333333333,0,False,False,/workspace_whz_worktrees/funrec-assignment-v3_outputs/geometry_interior_v5/unknown_116_physical_events_001/regions/031_frame_198_layer_10
