original_frame_id,q_m,proposal_id,source_layer,formal_v4_label,v5_decision,decision_reason,static_verified_active,drawer_verified_active,static_verified_fraction,drawer_verified_fraction,accepted_causal_disocclusion_events,static_contradiction_veto,drawer_contradiction_veto,region_directory
206,0.2996387806033801,frame_206_layer_3,3,unknown,UNKNOWN,insufficient_positive_physical_evidence,5,0,1.0,0.0,0,False,False,/workspace_whz_worktrees/funrec-assignment-v3_outputs/geometry_interior_v5/unknown_116_physical_events_001/regions/078_frame_206_layer_3
206,0.2996387806033801,frame_206_layer_6,6,unknown,MOVING,positive_moving_physical_evidence_no_static_conflict,3,5,0.6,1.0,0,False,False,/workspace_whz_worktrees/funrec-assignment-v3_outputs/geometry_interior_v5/unknown_116_physical_events_001/regions/079_frame_206_layer_6
206,0.2996387806033801,frame_206_layer_10,10,unknown,UNKNOWN,insufficient_positive_physical_evidence,0,1,0.0,0.2,0,False,False,/workspace_whz_worktrees/funrec-assignment-v3_outputs/geometry_interior_v5/unknown_116_physical_events_001/regions/080_frame_206_layer_10
206,0.2996387806033801,frame_206_layer_28,28,unknown,UNKNOWN,insufficient_positive_physical_evidence,5,2,1.0,0.4,0,False,False,/workspace_whz_worktrees/funrec-assignment-v3_outputs/geometry_interior_v5/unknown_116_physical_events_001/regions/081_frame_206_layer_28
207,0.3002295680213606,frame_207_layer_0,0,unknown,UNKNOWN,insufficient_positive_physical_evidence,2,1,0.5,0.25,0,False,False,/workspace_whz_worktrees/funrec-assignment-v3_outputs/geometry_interior_v5/unknown_116_physical_events_001/regions/082_frame_207_layer_0
207,0.3002295680213606,frame_207_layer_3,3,unknown,UNKNOWN,insufficient_positive_physical_evidence,4,0,1.0,0.0,0,False,False,/workspace_whz_worktrees/funrec-assignment-v3_outputs/geometry_interior_v5/unknown_116_physical_events_001/regions/083_frame_207_layer_3
207,0.3002295680213606,frame_207_layer_6,6,unknown,MOVING,positive_moving_physical_evidence_no_static_conflict,3,4,0.75,1.0,0,False,False,/workspace_whz_worktrees/funrec-assignment-v3_outputs/geometry_interior_v5/unknown_116_physical_events_001/regions/084_frame_207_layer_6
207,0.3002295680213606,frame_207_layer_10,10,unknown,UNKNOWN,insufficient_positive_physical_evidence,0,1,0.0,0.25,0,False,False,/workspace_whz_worktrees/funrec-assignment-v3_outputs/geometry_interior_v5/unknown_116_physical_events_001/regions/085_frame_207_layer_10
207,0.3002295680213606,frame_207_layer_28,28,unknown,UNKNOWN,insufficient_positive_physical_evidence,4,2,1.0,0.5,0,False,False,/workspace_whz_worktrees/funrec-assignment-v3_outputs/geometry_interior_v5/unknown_116_physical_events_001/regions/086_frame_207_layer_28
208,0.3002295680213606,frame_208_layer_0,0,unknown,UNKNOWN,insufficient_positive_physical_evidence,2,1,0.6666666666666666,0.3333333333333333,0,False,False,/workspace_whz_worktrees/funrec-assignment-v3_outputs/geometry_interior_v5/unknown_116_physical_events_001/regions/087_frame_208_layer_0
208,0.3002295680213606,frame_208_layer_3,3,unknown,UNKNOWN,insufficient_positive_physical_evidence,0,0,0.0,0.0,0,False,False,/workspace_whz_worktrees/funrec-assignment-v3_outputs/geometry_interior_v5/unknown_116_physical_events_001/regions/088_frame_208_layer_3
208,0.3002295680213606,frame_208_layer_6,6,unknown,UNKNOWN,insufficient_positive_physical_evidence,3,3,1.0,1.0,0,False,False,/workspace_whz_worktrees/funrec-assignment-v3_outputs/geometry_interior_v5/unknown_116_physical_events_001/regions/089_frame_208_layer_6
208,0.3002295680213606,frame_208_layer_10,10,unknown,UNKNOWN,insufficient_positive_physical_evidence,1,1,0.3333333333333333,0.3333333333333333,0,False,False,/workspace_whz_worktrees/funrec-assignment-v3_outputs/geometry_interior_v5/unknown_116_physical_events_001/regions/090_frame_208_layer_10
208,0.3002295680213606,frame_208_layer_28,28,unknown,UNKNOWN,insufficient_positive_physical_evidence,3,2,1.0,0.6666666666666666,0,False,False,/workspace_whz_worktrees/funrec-assignment-v3_outputs/geometry_interior_v5/unknown_116_physical_events_001/regions/091_frame_208_layer_28
209,0.3002295680213606,frame_209_layer_0,0,unknown,UNKNOWN,insufficient_positive_physical_evidence,1,1,0.5,0.5,0,False,False,/workspace_whz_worktrees/funrec-assignment-v3_outputs/geometry_interior_v5/unknown_116_physical_events_001/regions/092_frame_209_layer_0
209,0.3002295680213606,frame_209_layer_3,3,unknown,UNKNOWN,insufficient_positive_physical_evidence,0,0,0.0,0.0,0,False,False,/workspace_whz_worktrees/funrec-assignment-v3_outputs/geometry_interior_v5/unknown_116_physical_events_001/regions/093_frame_209_layer_3
209,0.3002295680213606,frame_209_layer_6,6,unknown,UNKNOWN,insufficient_positive_physical_evidence,1,2,0.5,1.0,0,False,False,/workspace_whz_worktrees/funrec-assignment-v3_outputs/geometry_interior_v5/unknown_116_physical_events_001/regions/094_frame_209_layer_6
209,0.3002295680213606,frame_209_layer_10,10,unknown,UNKNOWN,insufficient_positive_physical_evidence,1,1,0.5,0.5,0,False,False,/workspace_whz_worktrees/funrec-assignment-v3_outputs/geometry_interior_v5/unknown_116_physical_events_001/regions/095_frame_209_layer_10
