track_id,label,reason,unique_frame_count,q_span_m,q_span_fraction,static_median_residual_m,static_p90_residual_m,static_max_residual_m,E_static_m,drawer_median_residual_m,drawer_p90_residual_m,drawer_max_residual_m,E_drawer_m,observation_confidence
740,unknown,unknown_low_excitation,8,0.015765555121205144,0.05251166707232335,0.013858860187609076,0.018803647528381484,0.02035258003982404,0.018803647528381484,0.015735439718237106,0.017354401167275966,0.019340037338177615,0.017354401167275966,1.0
741,unknown,unknown_low_excitation,8,0.015765555121205144,0.05251166707232335,0.02789103898083207,0.03910069850305508,0.051845159300583685,0.03910069850305508,0.030543358780953506,0.045074409115334606,0.05392757904837971,0.045074409115334606,1.0
742,unknown,unknown_low_excitation,7,0.015765555121205144,0.05251166707232335,0.016714634645854196,0.021863255423924886,0.02791825230913849,0.021863255423924886,0.012855136588973663,0.02416239572984566,0.03716354918681798,0.02416239572984566,1.0
743,unknown,unknown_low_excitation,8,0.015765555121205144,0.05251166707232335,0.014474379988461268,0.03693186254457071,0.06067422634691514,0.03693186254457071,0.016630833355435283,0.0377249424725905,0.061017976572179555,0.0377249424725905,0.9597129970788956
744,unknown,unknown_low_excitation,9,0.015765555121205144,0.05251166707232335,0.026944550525897337,0.06079082870474164,0.0780282269997442,0.06079082870474164,0.01904559111747533,0.07052181968855908,0.08599399077423987,0.07052181968855908,0.9922182096375359
745,unknown,unknown_low_excitation,8,0.015765555121205144,0.05251166707232335,0.040715375419364035,0.1114596624586129,0.12236604046786968,0.1114596624586129,0.043823651463424096,0.10732204147751619,0.11837427468716998,0.10732204147751619,0.9998723864555359
746,unknown,unknown_low_excitation,8,0.015765555121205144,0.05251166707232335,0.028546539305451285,0.10362855276181732,0.24715988159080735,0.10362855276181732,0.02896902341383266,0.10548867184834845,0.25119019972855733,0.10548867184834845,0.9999970048666
747,unknown,unknown_low_excitation,5,0.015765555121205144,0.05251166707232335,0.017756793586058528,0.025813148543314776,0.025824346902360244,0.025813148543314776,0.011550446871751899,0.027240058560261612,0.033324371883281155,0.027240058560261612,1.0
748,unknown,unknown_low_excitation,8,0.015765555121205144,0.05251166707232335,0.023260165398324727,0.03701227911023247,0.04601510106360769,0.03701227911023247,0.024416092717442106,0.043726953219394425,0.06123469733791569,0.043726953219394425,1.0
749,unknown,unknown_low_excitation,8,0.015765555121205144,0.05251166707232335,0.019734807884096654,0.02883067713275219,0.029427347367798746,0.02883067713275219,0.02151923730401322,0.03273717706461475,0.03903402886683491,0.03273717706461475,1.0
750,unknown,unknown_low_excitation,8,0.015765555121205144,0.05251166707232335,0.021102232627490912,0.03273195849474681,0.04071553432838669,0.03273195849474681,0.02309028356137018,0.035929352077767866,0.049217785135091785,0.035929352077767866,1.0
751,unknown,unknown_low_excitation,8,0.015765555121205144,0.05251166707232335,0.09047828244349757,0.5546293788930967,0.5552278470798294,0.5546293788930967,0.08754837128202134,0.5590201307802366,0.5595047517616267,0.5590201307802366,1.0
752,unknown,unknown_low_excitation,8,0.015765555121205144,0.05251166707232335,0.019814612732000303,0.058743135705159266,0.11239358519077569,0.058743135705159266,0.02393309864050626,0.05736129689487045,0.1128089618149297,0.05736129689487045,0.9383309260010719
753,unknown,unknown_low_excitation,5,0.015765555121205144,0.05251166707232335,0.016841158863848082,0.02046936866785233,0.02176289163895283,0.02046936866785233,0.016651562178158663,0.02075788756042994,0.022666507155514902,0.02075788756042994,0.9999974727630615
754,unknown,unknown_low_excitation,4,0.015765555121205144,0.05251166707232335,0.018141277419424416,0.02357262620360717,0.023738521964163175,0.02357262620360717,0.013120476226679528,0.018267184115908296,0.01980975216884133,0.018267184115908296,0.9999999701976776
755,unknown,unknown_low_excitation,4,0.015765555121205144,0.05251166707232335,0.02527480503342927,0.03317158605886452,0.034360699355096724,0.03317158605886452,0.019072712272439424,0.03541637552428162,0.038192569006442974,0.03541637552428162,1.0
756,unknown,unknown_low_excitation,4,0.015765555121205144,0.05251166707232335,0.00778220059466619,0.010445537854546568,0.0114413917700157,0.010445537854546568,0.011950409771034546,0.01436366374930899,0.015122372880820766,0.01436366374930899,1.0
757,unknown,unknown_low_excitation,7,0.015765555121205144,0.05251166707232335,0.019580701241777482,0.04590951935250898,0.04936724626840712,0.04590951935250898,0.02128402312631495,0.0467285607070146,0.048499366921478215,0.0467285607070146,1.0
758,unknown,unknown_low_excitation,8,0.015765555121205144,0.05251166707232335,0.015137561114509774,0.01950251751303266,0.023924494626727088,0.01950251751303266,0.012937361444205141,0.024073251485047586,0.02805200688422053,0.024073251485047586,1.0
759,unknown,unknown_low_excitation,8,0.015765555121205144,0.05251166707232335,0.013409363186409343,0.019787943486598018,0.025717586996358316,0.019787943486598018,0.01252096363609324,0.019593638308021015,0.02115747727434871,0.019593638308021015,1.0
760,unknown,unknown_low_excitation,6,0.015765555121205144,0.05251166707232335,0.018095738700956657,0.030416499297410762,0.03915101849532935,0.030416499297410762,0.01741567241137447,0.029170668487713998,0.03873137072478548,0.029170668487713998,0.9999996225039164
